Post ID,Description,Publish time,Permalink,Post type,Views,Reach,Likes,Shares,Follows,Comments,Saves
18079171187650133,"Everything you want is on the other side of a few hard conversations you’ve been putting off.

I’ve never regretted having a hard conversation—only how long it took me to have it.",06/20/2026 20:59,https://www.instagram.com/reel/DZ1WpIru4cp/,IG reel,18718,15111,148,19,4,1,24
18358665997215743,"Most crazy goals become realistic if you think about accomplishing them over ten years rather than one.

Your goal isn’t crazy, just your timeline.",06/20/2026 20:54,https://www.instagram.com/reel/DZ1WKK3OsRQ/,IG reel,16758,11568,166,13,15,0,28
17887058805409220,,06/20/2026 10:39,https://www.instagram.com/reel/DZ0PyykNhPp/,IG reel,402395,,12142,2847,,213,0
17864806434594603,,06/20/2026 0:01,https://www.instagram.com/reel/DZzG86VgTQ5/,IG reel,393941,216655,10657,1296,31,106,2132
18062303636706537,,06/19/2026 19:09,https://www.instagram.com/reel/DZylWnfR4Yn/,IG reel,405675,,8253,3532,,85,0
18009818189731272,comment “alex” for this episode,06/19/2026 11:31,https://www.instagram.com/reel/DZxw-LBPxW8/,IG reel,512275,,19395,4950,,475,0
18109526132485067,comment “alex” and i’ll dm you the full episode,06/19/2026 11:26,https://www.instagram.com/reel/DZxwUC4vMVJ/,IG reel,254651,,7788,1130,,349,0
18109882201821693,"Everyone wants passive income.

No one wants to actively work for a decade to get it.

The “passive” part is the reward, not the strategy.",06/19/2026 9:20,https://www.instagram.com/reel/DZxiBbLu3LP/,IG reel,7376,5938,65,12,7,0,24
18204315916346562,"Volume x leverage = Output

Translation: How many actions you take times how much you get for each time you do it is the amount of work that gets done.

How much time you put in has a physical limit - hours in day.

How much leverage you apply does not. Focus accordingly.",06/18/2026 23:23,https://www.instagram.com/reel/DZwdfbgOCyl/,IG reel,3207,2637,42,9,10,2,17
18541470124072117,Strategy is how you choose to allocate your limited resources against unlimited options.,06/18/2026 23:14,https://www.instagram.com/reel/DZwcX_nuELo/,IG reel,2547,2152,24,6,4,0,4
17880717687666773,Hormozi’s Core Emotion is Anger 😳 #alexhormozi #emotions #structure #expression #EP159,06/18/2026 12:17,https://www.instagram.com/reel/DZvRQN2P03m/,IG reel,543371,,15758,3071,,153,0
18002566202936424,Now in production. Dropping Fall 2026. It’s a…. 🩷🩵,06/18/2026 9:00,https://www.instagram.com/reel/DZu7FiJhmNU/,IG reel,2509463,1324799,122836,7689,1699,7732,2689
18023337284672437,A lot of long term business success comes down to cycling through enough people over the years to filter for the top 1% that are all savages and love working together. Then the goals you go after just get bigger and bigger. And you add a winner or two every year. And never stop.,06/18/2026 6:00,https://www.instagram.com/reel/DZumbj3Bp-g/,IG reel,635521,428391,14265,2473,463,352,3759
17900056980311109,"I know it’s hard for you to believe, but someone really can put in 10,000 times more work than you, but they can.

and that’s how than can achieve 10,000x the outcome.

output = volume x leverage",06/18/2026 1:20,https://www.instagram.com/reel/DZuGRvqOo9b/,IG reel,10443,8221,88,14,7,1,32
17974253295099708,"Volume x leverage = Output

Translation: How many actions you take times how much you get for each time you do it is the amount of work that gets done.

How much time you put in has a physical limit - hours in day.

How much leverage you apply does not. Focus accordingly.",06/18/2026 1:15,https://www.instagram.com/reel/DZuFt74ubaD/,IG reel,14834,12373,99,34,18,1,75
17864217675591901,,06/18/2026 0:02,https://www.instagram.com/reel/DZt9Ze5jkLh/,IG reel,603039,285250,8026,976,28,305,1699
18413723845194130,"The two decisions that drive the most value in a company:

Pricing & People

And they also happen to be the two areas where founders give the most pushback.

Which is why they stay small.",06/17/2026 22:56,https://www.instagram.com/reel/DZt15bRuy-a/,IG reel,5977,4799,46,14,8,0,25
18126677227716561,The easiest way to make more money is to solve expensive problems for people who can afford to pay them.,06/17/2026 12:00,https://www.instagram.com/reel/DZsq4CchN6K/,IG reel,258773,155923,4238,593,78,103,1287
18099246980175355,The Love Story Behind the Hormozi Empire 🩵 #leilahormozi #love #sacrifice #trust #belief EP159,06/17/2026 11:57,https://www.instagram.com/reel/DZsqNJrvOBy/,IG reel,602494,,20957,2641,,220,0
17918436927181579,Distraction kill more businesses than competition ever does.,06/17/2026 6:00,https://www.instagram.com/reel/DZsBo_SBrku/,IG reel,214042,135630,1714,127,26,57,231
